Linux 5.19.0-43-generic (ubuntu) 	06/10/2023 	_x86_64_	(6 CPU)

05:20:10 AM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
05:22:00 AM     0     31324    0.00    0.99    0.00    0.99    0.99     5  python3
05:22:01 AM     0     31324    1.00    1.00    0.00    0.00    2.00     0  python3
05:22:02 AM     0     31324    0.00    2.00    0.00    0.00    2.00     1  python3
05:22:03 AM     0     31324    0.00    0.99    0.00    0.00    0.99     2  python3
05:22:04 AM     0     31324    1.00    0.00    0.00    1.00    1.00     4  python3
05:22:05 AM     0     31324    0.00    1.00    0.00    0.00    1.00     5  python3
05:22:06 AM     0     31324    0.00    0.00    0.00    0.00    0.00     5  python3
05:22:07 AM     0     31324    0.00    2.00    0.00    1.00    2.00     1  python3
05:22:08 AM     0     31324    1.00    0.00    0.00    0.00    1.00     4  python3
05:22:09 AM     0     31324    0.00    2.97    0.00    0.00    2.97     3  python3
05:22:10 AM     0     31324    0.00    2.00    0.00    1.00    2.00     0  python3
05:22:11 AM     0     31324    0.00    1.98    0.00    0.00    1.98     2  python3
05:22:12 AM     0     31324    0.00    0.00    0.00    0.00    0.00     2  python3
05:22:13 AM     0     31324    1.00    1.00    0.00    0.00    2.00     3  python3
05:22:14 AM     0     31324    0.00    0.00    0.00    0.00    0.00     5  python3
05:22:15 AM     0     31324    0.00    0.00    0.00    0.99    0.00     4  python3
05:22:16 AM     0     31324    1.00    1.00    0.00    0.00    2.00     1  python3
05:22:17 AM     0     31324    0.00    1.00    0.00    0.00    1.00     4  python3
05:22:18 AM     0     31324    0.00    0.00    0.00    1.00    0.00     3  python3
05:22:19 AM     0     31324    1.00    1.00    0.00    0.00    2.00     2  python3
05:22:20 AM     0     31324    0.00    3.96    0.00    0.00    3.96     1  python3
05:22:21 AM     0     31324    0.00    0.00    0.00    0.00    0.00     1  python3
05:22:22 AM     0     31324    0.00    0.00    0.00    0.00    0.00     1  python3
05:22:23 AM     0     31324    0.00    1.00    0.00    1.00    1.00     2  python3
05:22:24 AM     0     31324    0.00    0.00    0.00    0.00    0.00     1  python3
05:22:25 AM     0     31324    1.00    2.00    0.00    0.00    3.00     0  python3
05:22:26 AM     0     31324    0.99    1.98    0.00    0.99    2.97     3  python3
05:22:27 AM     0     31324    1.00    2.00    0.00    1.00    3.00     5  python3
05:22:28 AM     0     31324    1.00    3.00    0.00    2.00    4.00     2  python3
05:22:29 AM     0     31324    0.00    2.00    0.00    0.00    2.00     2  python3
05:22:30 AM     0     31324    0.00    0.00    0.00    0.00    0.00     5  python3
05:22:31 AM     0     31324    0.00    1.00    0.00    0.00    1.00     2  python3
05:22:32 AM     0     31324    0.00    3.00    0.00    0.00    3.00     1  python3
05:22:33 AM     0     31324    0.00    0.00    0.00    0.00    0.00     2  python3
05:22:34 AM     0     31324    0.00    1.00    0.00    1.00    1.00     2  python3
05:22:35 AM     0     31324    1.00    0.00    0.00    0.00    1.00     1  python3
05:22:36 AM     0     31324    0.00    1.00    0.00    0.00    1.00     2  python3
05:22:37 AM     0     31324    0.00    2.00    0.00    1.00    2.00     0  python3
05:22:38 AM     0     31324    0.00    2.00    0.00    0.00    2.00     5  python3
05:22:39 AM     0     31324    0.00    1.00    0.00    0.00    1.00     1  python3
05:22:40 AM     0     31324    0.00    2.00    0.00    0.00    2.00     4  python3
05:22:41 AM     0     31324    0.00    2.00    0.00    1.00    2.00     5  python3
05:22:42 AM     0     31324    1.00    2.00    0.00    0.00    3.00     1  python3
05:22:43 AM     0     31324    0.00    1.98    0.00    0.00    1.98     5  python3
05:22:44 AM     0     31324    0.00    1.00    0.00    0.00    1.00     0  python3
05:22:45 AM     0     31324    0.00    4.00    0.00    2.00    4.00     3  python3
05:22:46 AM     0     31324    1.00    1.00    0.00    0.00    2.00     0  python3
05:22:47 AM     0     31324    0.00    2.00    0.00    0.00    2.00     3  python3
05:22:48 AM     0     31324    0.00    1.00    0.00    1.00    1.00     4  python3
05:22:49 AM     0     31324    0.00    1.00    0.00    0.00    1.00     5  python3
05:22:50 AM     0     31324    0.00    2.00    0.00    0.00    2.00     4  python3
05:22:51 AM     0     31324    0.00    0.00    0.00    0.99    0.00     1  python3
05:22:52 AM     0     31324    0.00    0.00    0.00    0.00    0.00     0  python3
05:22:53 AM     0     31324    0.00    2.00    0.00    0.00    2.00     1  python3
05:22:54 AM     0     31324    1.00    0.00    0.00    0.00    1.00     1  python3
05:22:55 AM     0     31324    0.00    0.00    0.00    0.00    0.00     5  python3
05:22:56 AM     0     31324    0.00    1.00    0.00    1.00    1.00     3  python3
05:22:57 AM     0     31324    1.00    0.00    0.00    0.00    1.00     0  python3
05:22:58 AM     0     31324    0.00    0.99    0.00    0.00    0.99     0  python3
05:22:59 AM     0     31324    0.00    0.00    0.00    0.00    0.00     2  python3
05:23:00 AM     0     31324    0.00    1.00    0.00    0.00    1.00     2  python3
05:23:01 AM     0     31324    1.00    2.00    0.00    1.00    3.00     3  python3
05:23:02 AM     0     31324    0.00    1.00    0.00    0.00    1.00     3  python3
05:23:03 AM     0     31324    0.00    0.00    0.00    0.00    0.00     3  python3
05:23:04 AM     0     31324    0.00    0.99    0.00    0.00    0.99     4  python3
05:23:05 AM     0     31324    0.00    0.00    0.00    0.00    0.00     4  python3
05:23:06 AM     0     31324    0.00    2.00    0.00    1.00    2.00     3  python3
05:23:07 AM     0     31324    1.00    1.00    0.00    0.00    2.00     4  python3
05:23:08 AM     0     31324    0.00    0.00    0.00    0.00    0.00     4  python3
05:23:09 AM     0     31324    0.00    1.00    0.00    0.00    1.00     5  python3
05:23:10 AM     0     31324    0.00    0.00    0.00    0.00    0.00     0  python3
05:23:11 AM     0     31324    2.00    1.00    0.00    1.00    3.00     1  python3
05:23:12 AM     0     31324    0.00    1.00    0.00    0.00    1.00     4  python3
05:23:13 AM     0     31324    0.00    0.00    0.00    0.00    0.00     2  python3
05:23:14 AM     0     31324    1.00    2.00    0.00    1.00    3.00     5  python3
05:23:15 AM     0     31324    0.00    0.00    0.00    0.00    0.00     3  python3
05:23:16 AM     0     31324    0.00    1.00    0.00    0.00    1.00     3  python3
05:23:17 AM     0     31324    0.00    0.00    0.00    0.00    0.00     3  python3
05:23:18 AM     0     31324    0.00    1.96    0.00    0.98    1.96     0  python3
05:23:19 AM     0     31324    0.00    1.00    0.00    0.00    1.00     3  python3
05:23:20 AM     0     31324    0.00    1.00    0.00    0.00    1.00     3  python3
05:23:21 AM     0     31324    0.00    0.00    0.00    0.00    0.00     3  python3
05:23:22 AM     0     31324    0.00    1.00    0.00    0.00    1.00     1  python3
05:23:23 AM     0     31324    0.00    1.00    0.00    0.00    1.00     4  python3
05:23:24 AM     0     31324    0.00    0.00    0.00    0.00    0.00     4  python3
05:23:25 AM     0     31324    0.00    1.00    0.00    0.00    1.00     2  python3
05:23:26 AM     0     31324    0.00    0.00    0.00    0.00    0.00     2  python3
05:23:27 AM     0     31324    1.00    2.00    0.00    1.00    3.00     0  python3
05:23:28 AM     0     31324    1.00    0.00    0.00    0.00    1.00     3  python3
05:23:29 AM     0     31324    0.00    0.00    0.00    0.00    0.00     3  python3
05:23:30 AM     0     31324    0.00    0.00    0.00    0.00    0.00     5  python3
05:23:31 AM     0     31324    0.00    2.00    0.00    0.00    2.00     0  python3
05:23:32 AM     0     31324    0.00    1.00    0.00    1.00    1.00     0  python3
05:23:33 AM     0     31324    1.00    2.00    0.00    1.00    3.00     0  python3
05:23:34 AM     0     31324    1.00    0.00    0.00    0.00    1.00     4  python3
05:23:35 AM     0     31324    0.00    1.00    0.00    0.00    1.00     3  python3
05:23:36 AM     0     31324    0.00    1.00    0.00    1.00    1.00     5  python3
05:23:37 AM     0     31324    1.00    1.00    0.00    0.00    2.00     4  python3
05:23:38 AM     0     31324    0.99    1.98    0.00    0.00    2.97     5  python3
05:23:39 AM     0     31324    0.00    1.00    0.00    0.00    1.00     2  python3
05:23:40 AM     0     31324    1.00    0.00    0.00    0.00    1.00     3  python3
05:23:41 AM     0     31324    0.00    0.00    0.00    0.00    0.00     3  python3
05:23:42 AM     0     31324    0.00    0.00    0.00    0.00    0.00     0  python3
05:23:43 AM     0     31324    0.00    1.00    0.00    0.00    1.00     0  python3
05:23:44 AM     0     31324    1.00    0.00    0.00    0.00    1.00     0  python3
05:23:45 AM     0     31324    0.00    0.00    0.00    0.00    0.00     2  python3
05:23:46 AM     0     31324    1.00    1.00    0.00    1.00    2.00     0  python3
05:23:47 AM     0     31324    0.00    1.00    0.00    0.00    1.00     1  python3
05:23:48 AM     0     31324    2.00    0.00    0.00    0.00    2.00     4  python3
05:23:49 AM     0     31324    2.00    0.00    0.00    1.00    2.00     1  python3
05:23:50 AM     0     31324    0.00    1.00    0.00    0.00    1.00     1  python3
05:23:51 AM     0     31324    0.00    1.00    0.00    1.00    1.00     5  python3
05:23:52 AM     0     31324    0.00    1.00    0.00    0.00    1.00     3  python3
05:23:53 AM     0     31324    0.00    1.00    0.00    0.00    1.00     2  python3
05:23:54 AM     0     31324    0.00    4.00    0.00    2.00    4.00     0  python3
05:23:55 AM     0     31324    0.00    0.99    0.00    0.00    0.99     0  python3
05:23:56 AM     0     31324    0.00    1.00    0.00    0.00    1.00     2  python3
05:23:57 AM     0     31324    0.00    1.00    0.00    1.00    1.00     3  python3
05:23:58 AM     0     31324    0.00    1.00    0.00    0.00    1.00     5  python3
05:23:59 AM     0     31324    0.00    0.00    0.00    0.00    0.00     5  python3
05:24:00 AM     0     31324    0.00    2.00    0.00    2.00    2.00     0  python3
05:24:01 AM     0     31324    1.00    2.00    0.00    0.00    3.00     4  python3
05:24:02 AM     0     31324    0.00    0.99    0.00    0.00    0.99     5  python3
05:24:03 AM     0     31324    0.00    0.00    0.00    0.00    0.00     5  python3
05:24:04 AM     0     31324    0.00    1.00    0.00    0.00    1.00     1  python3
05:24:05 AM     0     31324    0.00    1.00    0.00    0.00    1.00     4  python3
05:24:06 AM     0     31324    0.00    0.00    0.00    0.00    0.00     0  python3
05:24:07 AM     0     31324    0.99    0.99    0.00    0.00    1.98     0  python3
05:24:08 AM     0     31324    0.00    1.00    0.00    1.00    1.00     3  python3
05:24:09 AM     0     31324    0.00    1.00    0.00    0.00    1.00     1  python3
05:24:10 AM     0     31324    0.00    3.00    0.00    0.00    3.00     3  python3
05:24:11 AM     0     31324    0.00    0.00    0.00    0.99    0.00     5  python3
05:24:12 AM     0     31324    0.00    0.00    0.00    0.00    0.00     5  python3
05:24:13 AM     0     31324    0.00    0.00    0.00    0.00    0.00     5  python3
05:24:14 AM     0     31324    0.00    0.00    0.00    0.00    0.00     5  python3
05:24:15 AM     0     31324    0.00    0.00    0.00    0.00    0.00     5  python3
05:24:16 AM     0     31324    0.00    0.00    0.00    0.00    0.00     5  python3
05:24:17 AM     0     31324    0.00    0.00    0.00    0.00    0.00     5  python3
05:24:18 AM     0     31324    0.00    0.00    0.00    0.00    0.00     5  python3
