Linux 5.19.0-43-generic (ubuntu) 	06/10/2023 	_x86_64_	(6 CPU)

05:14:04 AM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
05:15:48 AM     0     30768    0.00    0.00    0.00    0.00    0.00     5  python3
05:15:49 AM     0     30768    0.00    1.00    0.00    0.00    1.00     5  python3
05:15:50 AM     0     30768    0.00    1.00    0.00    0.00    1.00     5  python3
05:15:51 AM     0     30768    0.00    0.00    0.00    0.00    0.00     0  python3
05:15:52 AM     0     30768    0.00    0.00    0.00    0.00    0.00     0  python3
05:15:53 AM     0     30768    0.00    1.00    0.00    0.00    1.00     5  python3
05:15:54 AM     0     30768    0.99    0.00    0.00    0.99    0.99     5  python3
05:15:55 AM     0     30768    0.00    0.00    0.00    0.00    0.00     2  python3
05:15:56 AM     0     30768    0.99    0.99    0.00    0.00    1.98     2  python3
05:15:57 AM     0     30768    0.00    1.00    0.00    0.00    1.00     0  python3
05:15:58 AM     0     30768    0.00    0.00    0.00    0.00    0.00     3  python3
05:15:59 AM     0     30768    0.00    3.00    0.00    1.00    3.00     3  python3
05:16:00 AM     0     30768    1.00    1.00    0.00    0.00    2.00     1  python3
05:16:01 AM     0     30768    0.00    0.00    0.00    0.00    0.00     5  python3
05:16:02 AM     0     30768    0.00    1.00    0.00    0.00    1.00     2  python3
05:16:03 AM     0     30768    0.00    0.99    0.00    0.99    0.99     4  python3
05:16:04 AM     0     30768    1.00    1.00    0.00    0.00    2.00     4  python3
05:16:05 AM     0     30768    0.00    1.00    0.00    0.00    1.00     1  python3
05:16:06 AM     0     30768    0.00    0.00    0.00    0.99    0.00     2  python3
05:16:07 AM     0     30768    0.00    1.00    0.00    0.00    1.00     2  python3
05:16:08 AM     0     30768    0.00    1.00    0.00    0.00    1.00     3  python3
05:16:09 AM     0     30768    0.99    0.00    0.00    0.99    0.99     5  python3
05:16:10 AM     0     30768    0.00    3.00    0.00    1.00    3.00     1  python3
05:16:11 AM     0     30768    1.00    1.00    0.00    0.00    2.00     2  python3
05:16:12 AM     0     30768    0.00    0.99    0.00    0.99    0.99     2  python3
05:16:13 AM     0     30768    1.00    0.00    0.00    0.00    1.00     1  python3
05:16:14 AM     0     30768    0.00    2.00    0.00    0.00    2.00     0  python3
05:16:15 AM     0     30768    0.00    0.99    0.00    0.99    0.99     3  python3
05:16:16 AM     0     30768    0.00    1.00    0.00    1.00    1.00     0  python3
05:16:17 AM     0     30768    0.00    0.00    0.00    0.00    0.00     0  python3
05:16:18 AM     0     30768    1.00    1.00    0.00    0.00    2.00     2  python3
05:16:19 AM     0     30768    0.00    0.00    0.00    0.00    0.00     2  python3
05:16:20 AM     0     30768    0.00    1.00    0.00    0.00    1.00     0  python3
05:16:21 AM     0     30768    0.00    1.98    0.00    0.99    1.98     4  python3
05:16:22 AM     0     30768    0.00    0.00    0.00    0.00    0.00     5  python3
05:16:23 AM     0     30768    0.00    3.00    0.00    1.00    3.00     5  python3
05:16:24 AM     0     30768    1.00    1.00    0.00    0.00    2.00     1  python3
05:16:25 AM     0     30768    0.00    1.00    0.00    1.00    1.00     3  python3
05:16:26 AM     0     30768    0.99    1.98    0.00    0.99    2.97     4  python3
05:16:27 AM     0     30768    0.00    1.00    0.00    0.00    1.00     4  python3
05:16:28 AM     0     30768    0.00    1.00    0.00    0.00    1.00     4  python3
05:16:29 AM     0     30768    0.99    0.00    0.00    0.00    0.99     4  python3
05:16:30 AM     0     30768    0.00    1.00    0.00    1.00    1.00     5  python3
05:16:31 AM     0     30768    0.00    1.00    0.00    0.00    1.00     0  python3
05:16:32 AM     0     30768    0.00    2.00    0.00    0.00    2.00     2  python3
05:16:33 AM     0     30768    0.00    1.00    0.00    0.00    1.00     4  python3
05:16:34 AM     0     30768    1.00    1.00    0.00    0.00    2.00     5  python3
05:16:35 AM     0     30768    0.00    0.99    0.00    0.00    0.99     5  python3
05:16:36 AM     0     30768    0.00    3.00    0.00    1.00    3.00     5  python3
05:16:37 AM     0     30768    0.00    1.00    0.00    1.00    1.00     3  python3
05:16:38 AM     0     30768    1.00    1.00    0.00    0.00    2.00     0  python3
05:16:39 AM     0     30768    0.00    2.00    0.00    1.00    2.00     4  python3
05:16:40 AM     0     30768    1.00    0.00    0.00    0.00    1.00     2  python3
05:16:41 AM     0     30768    0.99    0.00    0.00    0.00    0.99     5  python3
05:16:42 AM     0     30768    0.00    1.00    0.00    0.00    1.00     1  python3
05:16:43 AM     0     30768    0.00    1.00    0.00    0.00    1.00     1  python3
05:16:44 AM     0     30768    0.00    0.00    0.00    0.00    0.00     4  python3
05:16:45 AM     0     30768    0.00    2.00    0.00    1.00    2.00     5  python3
05:16:46 AM     0     30768    0.00    1.00    0.00    0.00    1.00     0  python3
05:16:47 AM     0     30768    0.00    1.00    0.00    0.00    1.00     3  python3
05:16:48 AM     0     30768    0.00    2.00    0.00    0.00    2.00     4  python3
05:16:49 AM     0     30768    0.00    2.00    0.00    1.00    2.00     5  python3
05:16:50 AM     0     30768    0.00    0.00    0.00    0.00    0.00     0  python3
05:16:51 AM     0     30768    0.00    0.00    0.00    0.00    0.00     0  python3
05:16:52 AM     0     30768    0.00    0.00    0.00    0.00    0.00     0  python3
05:16:53 AM     0     30768    1.00    0.00    0.00    0.00    1.00     5  python3
05:16:54 AM     0     30768    0.00    1.00    0.00    0.00    1.00     4  python3
05:16:55 AM     0     30768    0.00    1.00    0.00    1.00    1.00     1  python3
05:16:56 AM     0     30768    0.00    0.00    0.00    0.00    0.00     1  python3
05:16:57 AM     0     30768    0.00    0.00    0.00    0.00    0.00     4  python3
05:16:58 AM     0     30768    0.00    1.00    0.00    0.00    1.00     4  python3
05:16:59 AM     0     30768    0.00    0.00    0.00    0.00    0.00     4  python3
05:17:00 AM     0     30768    0.00    0.99    0.00    0.00    0.99     4  python3
05:17:01 AM     0     30768    0.00    0.00    0.00    0.00    0.00     4  python3
05:17:02 AM     0     30768    0.00    1.00    0.00    0.00    1.00     2  python3
05:17:03 AM     0     30768    0.00    1.00    0.00    0.00    1.00     3  python3
05:17:04 AM     0     30768    0.00    1.98    0.00    0.99    1.98     2  python3
05:17:05 AM     0     30768    1.00    2.00    0.00    0.00    3.00     2  python3
05:17:06 AM     0     30768    0.00    0.00    0.00    1.00    0.00     2  python3
05:17:07 AM     0     30768    0.00    2.00    0.00    0.00    2.00     5  python3
05:17:08 AM     0     30768    0.00    2.00    0.00    0.00    2.00     2  python3
